City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Sao Felix Do Xingu,BR,75.24,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
423,Hienghene,NC,76.19,broken clouds,-20.6833,164.9333,Ka Waboana Lodge
425,Cape Coral,US,89.01,clear sky,26.5629,-81.9495,"Hampton Inn & Suites - Cape Coral/Fort Myers Area, FL"
428,Port Hawkesbury,CA,75.9,broken clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
431,Akyab,MM,81.36,light rain,20.15,92.9,Hotel Memory
436,Panuco,MX,86.18,overcast clouds,22.05,-98.1667,Hotel Plaza
438,Santa Rosa,PH,85.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
443,Arroyo,ES,80.6,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
444,Marshall,US,82.72,clear sky,34.3834,-86.3333,Riverview Campground
447,Melchor De Mencos,GT,77.0,broken clouds,17.0686,-89.1522,Xultun Farm
455,Alofi,NU,76.98,scattered clouds,-19.0595,-169.9187,Taloa Heights
456,Zempoala,MX,86.92,broken clouds,19.45,-96.4167,Panteon Cempoala
459,Kamaishi,JP,75.99,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
464,Hobyo,SO,75.09,broken clouds,5.3505,48.5268,Iftin hotel hobyo
466,Dawlatabad,AF,81.59,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
468,Acajutla,SV,83.05,broken clouds,13.5928,-89.8275,Laureles
470,Sao Filipe,CV,77.4,scattered clouds,14.8961,-24.4956,Hotel Xaguate
471,Saint-Georges,GD,79.47,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
472,Oda,JP,77.77,heavy intensity rain,35.1833,132.5,Sky Hotel Oda
477,Tahta,EG,84.45,clear sky,26.7693,31.5021,فندق الزيات
478,Babu,CN,80.89,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
481,Westport,US,78.62,scattered clouds,41.1415,-73.3579,The Westport Inn
485,Na Klang,TH,78.76,overcast clouds,17.3072,102.1889,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
492,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
496,Mastic Beach,US,78.78,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
498,Mayo,US,82.96,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
500,Kananga,CD,76.08,broken clouds,-5.8958,22.4178,Guest House Wood Land
501,Cabra,ES,79.66,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
506,Thunder Bay,CA,81.36,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
507,Najran,SA,81.77,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
508,Touros,BR,75.58,light rain,-5.1989,-35.4608,INN NEW HORIZON
509,La Joya,MX,84.38,overcast clouds,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
510,Pochutla,MX,87.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
514,Progreso,MX,84.31,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
518,Tongling,CN,82.11,overcast clouds,30.95,117.7833,Huoxian Hotel
522,Awjilah,LY,81.91,clear sky,29.1081,21.2869,المنزل
524,Takhli,TH,84.74,broken clouds,15.2634,100.3438,บ้านเพลิน
525,Turbat,PK,84.9,scattered clouds,26.0023,63.044,Mubashar Quarters
527,Dourdan,FR,83.25,clear sky,48.5277,2.0111,"Belambra Clubs ""Le Domaine du Normont"""
528,Celestun,MX,87.01,scattered clouds,20.8667,-90.4,Posada Lilia
529,Iquitos,PE,77.04,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
533,Nieuw Nickerie,SR,79.16,overcast clouds,5.95,-56.9833,Ishwardat Inn
537,Amahai,ID,77.81,broken clouds,-3.3333,128.9167,HOTEL ISABELA
538,Madison Heights,US,88.07,scattered clouds,42.4859,-83.1052,Red Roof Inn Detroit - Warren
540,Kashi,CN,79.48,clear sky,39.4547,75.9797,帕米尔青年旅舍
544,Palmer,US,76.24,overcast clouds,42.1584,-72.3287,Wedgewood Motel
546,Yorkton,CA,78.01,broken clouds,51.2167,-102.4677,Redwood Motel
547,Amalapuram,IN,77.56,overcast clouds,16.5833,82.0167,swayamprabha service apartments
550,Baisha,CN,79.23,overcast clouds,26.5222,110.9311,Xiangcun Old Place Hotel
552,Tebingtinggi,ID,75.09,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
553,Zabid,YE,88.84,broken clouds,14.1951,43.3152,مغرب التريبه
562,Yatou,CN,78.48,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
564,Kassala,SD,80.76,broken clouds,15.451,36.4,Amassi Hotel Gash
565,Cambridge,CA,76.05,scattered clouds,43.3601,-80.3127,Cambridge Gateway Suites
566,Lufilufi,WS,81.79,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
569,Balabac,PH,82.0,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
573,Timmins,CA,78.12,scattered clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
575,High Level,CA,82.36,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
576,Boa Vista,BR,76.8,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
580,Zhanaozen,KZ,89.96,clear sky,43.3,52.8,K.korabay 28A
586,Guerrero Negro,MX,78.22,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
591,Kenora,CA,84.78,scattered clouds,49.8167,-94.4337,Maynard Lake Lodge
592,Vega De Alatorre,MX,84.83,scattered clouds,20.0333,-96.6333,Hotel D Luxe
596,Marsa Matruh,EG,76.55,clear sky,31.3525,27.2453,Beau Site
604,Puerto Ayacucho,VE,77.22,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
615,Cartagena,CO,82.02,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
618,Gazanjyk,TM,84.76,clear sky,39.2446,55.5154,Railway motel
625,Liuzhou,CN,81.18,overcast clouds,24.3126,109.3892,Linjiang Inn
627,Fukue,JP,80.65,heavy intensity rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
637,Bam,IR,88.72,broken clouds,29.106,58.357,Bam Tourist Hotel
641,Pacific Grove,US,77.02,clear sky,36.6177,-121.9166,Lovers Point Inn
642,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
646,Nabire,ID,78.89,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
649,Sarakhs,IR,83.12,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
650,Praia,CV,75.42,broken clouds,14.9215,-23.5087,LT Aparthotel
653,Hambantota,LK,77.94,broken clouds,6.1241,81.1185,Bungalow 63
