City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
26,Vaini,TO,-21.2,-175.2,74.34,80,83,22.41,broken clouds
27,Palana,RU,59.1167,159.9667,53.98,86,97,7.65,overcast clouds
28,Longyearbyen,SJ,78.2186,15.6401,51.64,66,75,14.97,broken clouds
29,Laguna,US,38.421,-121.4238,105.15,15,0,6.91,clear sky
30,Luanda,AO,-8.8368,13.2343,68.4,92,17,4.81,few clouds
31,Mae Hong Son,TH,19.3003,97.9685,76.42,95,100,1.61,light rain
32,Ushuaia,AR,-54.8,-68.3,37.06,87,75,10.36,light rain
33,Gunnedah,AU,-30.9833,150.25,47.98,53,0,7.85,clear sky
34,Kailua,US,21.4022,-157.7394,86.02,75,75,16.11,broken clouds
35,Carnarvon,AU,-24.8667,113.6333,60.85,64,0,12.24,clear sky
36,Riachao,BR,-7.3619,-46.6172,77.34,39,25,4.07,scattered clouds
37,Avarua,CK,-21.2078,-159.775,75.25,73,75,9.22,broken clouds
38,Kodiak,US,57.79,-152.4072,55.26,79,99,5.95,overcast clouds
39,Ust-Tsilma,RU,65.441,52.1498,59.58,74,83,4.0,broken clouds
40,Santa Isabel,BR,-23.3156,-46.2214,62.78,91,76,4.23,broken clouds
41,Sioux Lookout,CA,50.1001,-91.917,84.4,38,30,5.08,scattered clouds
42,Albany,US,42.6001,-73.9662,76.73,88,100,8.61,overcast clouds
43,Cayenne,GF,4.9333,-52.3333,79.09,1,79,0.0,broken clouds
44,Qaanaaq,GL,77.484,-69.3632,44.74,61,0,3.02,clear sky
45,Envira,BR,-7.3,-70.2167,76.33,83,81,1.86,broken clouds
46,Sola,VU,-13.8833,167.55,81.03,77,38,20.18,scattered clouds
47,Grand Gaube,MU,-20.0064,57.6608,67.37,69,66,8.01,broken clouds
48,Yellowknife,CA,62.456,-114.3525,72.16,48,83,6.13,broken clouds
49,Nador,MA,35.174,-2.9287,77.25,83,0,3.44,clear sky
50,Rikitea,PF,-23.1203,-134.9692,74.71,74,13,10.74,few clouds
51,Inhambane,MZ,-23.865,35.3833,67.84,88,3,1.19,clear sky
